review_title,reviewed_at,reviewed_by,images,crawled_at,url,hotel_name,hotel_url,avg_rating,reviews_count,locality,country,helpful,rating,review_text
Really good tacos,24 May 2021,sabearfan12,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,1,4,Our first night in NYC in a few years. The city was opening the next night from the pandemic and it was only 7pm and a lot of places were closed. We had thought about some other places for tacos but stumbled upon Tito Murphy’s....
Great drinks & food,8 January 2021,mnhen,https://media-cdn.tripadvisor.com/media/photo-l/1c/81/09/71/photo0jpg.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,2,5,Great menu options!! drinks were very satisfactory! Definitely will return and bring more friends here in the future
Delicious! ,23 February 2020,Claire_simp90,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,1,5,Myself and my family came here when we visited New York in December 2019. Staff were very kind and helpful and managed to get a table for us(we were so grateful as it was lashing rain outside and we had no reservation!) We ordered a...
Delicious Mexican food in,18 February 2020,jitskee2019,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,1,5,"Delicious Mexican food in big portions for a very reasonable price. Very friendly staff. When we realized there was not much time left before our show, they were more than happy to pack our desert to go. Come early in the weekend because they might..."
An early dinner!,17 February 2020,ianshamshey,https://media-cdn.tripadvisor.com/media/photo-f/1a/ea/e1/5b/20200207-134831-largejpg.jpg~https://media-cdn.tripadvisor.com/media/photo-f/1a/ea/e1/5c/20200207-134819-largejpg.jpg~https://media-cdn.tripadvisor.com/media/photo-f/1a/ea/e1/5d/20200207-134352-largejpg.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,,4,"I was doing some odds and ends in Hell's Kitchen and realized that I didn't have lunch but it was almost dinnertime. I was looking around for a place to eat and stumbled upon Tito Murphy's, an Irish Mexican pub. It is a large space..."
Great place!,1 February 2021,Dayseemay,https://media-cdn.tripadvisor.com/media/photo-l/1c/97/54/f2/20210131-120637-largejpg.jpg~https://media-cdn.tripadvisor.com/media/photo-l/1c/97/54/f3/20210131-120641-largejpg.jpg~https://media-cdn.tripadvisor.com/media/photo-l/1c/97/54/f4/20210131-115554-largejpg.jpg~https://media-cdn.tripadvisor.com/media/photo-l/1c/97/54/f5/20210131-120217-largejpg.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,,4,"Had a great meal here today in a toasty warm outdoor dining area. Fabulous, friendly service,  and food was amazing! Shrimp + grits were deliciously buttery, hangar steak + eggs cooked perfectly and the jalapeño biscuits were off the chart. We squeezed in an apple..."
Definitely recommend,11 February 2020,Jbro772,https://media-cdn.tripadvisor.com/media/photo-l/1a/dd/0f/fb/gentleman.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,,5,"Visited Tito Murphys for the first time yesterday.
Had a great experience, Keith couldn't do enough 4 us. 
As a regular visitor to NYC we will most definitely be back. 
We totally recommend Titos for food and drinks 100%
And FYI, please try frozen margaritas....."
Convenient location,10 February 2020,eastenderLI,https://media-cdn.tripadvisor.com/media/photo-l/1a/da/34/1a/view-from-bar-area.jpg~https://media-cdn.tripadvisor.com/media/photo-l/1a/da/34/1d/view-from-mezzanine-level.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,2,4,"We stayed next door at The French Quarters. While waiting for our room to be ready (we arrived early), we decided to have lunch at Tito Murphy’s. What a pleasant surprise!
They had a varied, reasonably priced menu with lunch specials. I had a Burrito..."
Great Food,14 January 2020,davidpost29,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,,5,Excellent food! I would highly recommend for anybody looking for good Mexican food in Hell’s Kitchen! The entire staff was courteous and friendly and they ensured we had a pleasurable visit.
Beautiful Bar in Hells Kitchen ,9 December 2019,Alasdair0169,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,,4,"Dropped in for an early evening drink

Bar is deceptive with small entrance leading to a lovely sized room which was enhanced by some fantastic Christmas decorations 

It was described to us as a Irish Mexican bar!

What a combination 

Well worth a visit"
Brunch and booze,14 December 2019,averyyy016,https://media-cdn.tripadvisor.com/media/photo-l/1a/4a/b0/9d/apple-cider-mimosas.jpg~https://media-cdn.tripadvisor.com/media/photo-l/1a/4a/b0/d8/biscuits-and-gravy.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,1,5,"This is the perfect stop for brunch before a Central Park visit. A rotating beer, cider, and seasonal drink menu with great food. We sat at the bar and had excellent service. It's a smaller venue so probably not great for large groups."
Good breakfast place with a variety of local beers! ,19 August 2019,Nafiisaa,https://media-cdn.tripadvisor.com/media/photo-l/18/dc/63/76/photo0jpg.jpg~https://media-cdn.tripadvisor.com/media/photo-l/18/dc/63/77/photo1jpg.jpg~https://media-cdn.tripadvisor.com/media/photo-l/18/dc/63/78/photo2jpg.jpg~https://media-cdn.tripadvisor.com/media/photo-f/18/dc/63/7a/photo3jpg.jpg,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,1,5,"We stayed just beside this place. It’s a good place for breakfast. Staffs are very friendly. They have very good collection of local beers. On our last night in NYC, we had a great time there. We tried 4-5 different types of beers and all..."
Comfortable spot with good burger & strong beer selection,2 July 2019,FiftyFeisty,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,,4,"East Harlem Bottling Company is a great place to meet a friend or colleague and have a leisurely lunch or dinner.  Nothing fancy but the burger is good, the service is good and that atmosphere is nice.  Strong beer selection."
Solid burger at good price,4 June 2019,Taz02461,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,,4,"Small friendly place. Service was quick and the food was very good. WE choose to sit indoors on a hot afternoon, but there is pation seating out front and a nice bar area inside."
Great atmosphere and good value food,8 December 2019,Ronny48,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,Tito Murphy's Cantina & Kitchen,https://www.tripadvisor.in/Restaurant_Review-g60763-d19340970-Reviews-Tito_Murphy_s_Cantina_Kitchen-New_York_City_New_York.html,4.5,16,New York City,United States,,4,"We stumbled on this place while looking for somewhere reasonably priced to eat.  We enjoyed our first meal so much that we went again a couple of days later.
More of a local bar than a restaurant but the food was pretty good too.  Had..."
Nice Lunch Spot,3 June 2019,bkerr87,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,,4,"The beer selection was great and full of local beers. When we visited they were out of the particular beer that we wanted, however the waitress was very knowledgeable of their selection and directed us to a superb second choice beer of similar taste which..."
"Great food, friendly service",13 May 2019,HappyTraveler1957,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,East Harlem Bottling Company,https://www.tripadvisor.in/Restaurant_Review-g60763-d11619654-Reviews-East_Harlem_Bottling_Company-New_York_City_New_York.html,4.5,38,New York City,United States,,5,Stopped in for lunch during a recent visit to East Harlem.  Had the BLT sandwich which was wonderful.  The service was very friendly and the atmosphere was welcoming.  A nice spot for a meal or drinks.  They have a nice very selection of beers on...
The occasion makes the thief,12 April 2019,Matheus r,,"07/18/2021, 22:40:25",https://www.tripadvisor.in/
